codigo,codigo_dpto,codigo_mun,dpto,mun,metota,mesesc,pmesesc,meserr,centota,carg,cargElectos,cargEmpatados,cargtota,votant,pvotant,absten,pabsten,votnul,pvotnul,votnma,pvotnma,FEDERICO_GUTIÉRREZ_vot,FEDERICO_GUTIÉRREZ_pvot,RODOLFO_HERNÁNDEZ_vot,RODOLFO_HERNÁNDEZ_pvot,GUSTAVO_PETRO_vot,GUSTAVO_PETRO_pvot,SERGIO_FAJARDO_vot,SERGIO_FAJARDO_pvot,JOHN MILTON_RODRÍGUEZ_vot,JOHN MILTON_RODRÍGUEZ_pvot,ENRIQUE_GÓMEZ MARTÍNEZ_vot,ENRIQUE_GÓMEZ MARTÍNEZ_pvot,LUIS_PÉREZ_vot,LUIS_PÉREZ_pvot,INGRID_BETANCOURT_vot,INGRID_BETANCOURT_pvot,cod2,dane
1500091,14,7,CUNDINAMARCA,FUQUENE,12,12,100,0,4163,0,0,0,0,2766,66.44,1397,33.55,26,0.93,4,0.14,168,6.14,1761,64.36,687,25.10,66,2.41,12,0.43,3,0.10,1,0.03,1,0.03,15091,25288
1500094,20,15,CUNDINAMARCA,FUSAGASUGA,291,291,100,0,113222,0,0,0,0,71538,63.18,41684,36.81,715,0.99,43,0.06,14961,21.13,28483,40.24,22161,31.30,2862,4.04,852,1.20,201,0.28,30,0.04,37,0.05,15094,25290
1500097,12,6,CUNDINAMARCA,GACHALA,15,15,100,0,5206,0,0,0,0,2645,50.8,2561,49.19,17,0.64,7,0.26,294,11.21,1628,62.11,605,23.08,58,2.21,14,0.53,2,0.07,0,0,0,0,15097,25293
1500100,18,7,CUNDINAMARCA,GACHANCIPA,30,30,100,0,11746,0,0,0,0,8550,72.79,3196,27.20,147,1.71,6,0.07,517,6.15,4259,50.72,3119,37.14,203,2.41,111,1.32,17,0.20,4,0.04,9,0.10,15100,25295
0700094,10,4,BOYACA,GACHANTIVA,8,8,100,0,3004,0,0,0,0,1829,60.88,1175,39.11,13,0.71,5,0.27,138,7.62,1229,67.86,373,20.59,29,1.60,7,0.38,7,0.38,2,0.11,2,0.11,07094,15293
1500103,13,8,CUNDINAMARCA,GACHETA,24,24,100,0,9077,0,0,0,0,4971,54.76,4106,45.23,40,0.80,14,0.28,599,12.18,3099,63.02,975,19.82,121,2.46,29,0.58,9,0.18,1,0.02,4,0.08,15103,25297
2700085,16,7,SANTANDER,GALAN,13,13,100,0,2580,0,0,0,0,1672,64.8,908,35.19,8,0.47,1,0.05,379,22.79,1083,65.12,150,9.01,21,1.26,2,0.12,7,0.42,0,0,0,0,27085,68296
0300013,13,10,ATLANTICO,GALAPA,110,110,100,0,41641,0,0,0,0,17249,41.42,24392,58.57,120,0.69,23,0.13,2889,16.88,2234,13.05,11236,65.68,306,1.78,150,0.87,24,0.14,8,0.04,9,0.05,03013,8296
2800048,12,10,SUCRE,GALERAS (NUEVA GRANADA),50,50,100,0,17891,0,0,0,0,8007,44.75,9884,55.24,60,0.74,22,0.27,2948,37.19,1748,22.05,2424,30.58,113,1.42,546,6.88,20,0.25,2,0.02,5,0.06,28048,70235
1500106,12,4,CUNDINAMARCA,GAMA,9,9,100,0,3117,0,0,0,0,1793,57.52,1324,42.47,18,1.00,0,0,235,13.23,1182,66.59,252,14.19,69,3.88,7,0.39,8,0.45,0,0,3,0.16,15106,25299
1200450,20,14,CESAR,GAMARRA,33,33,100,0,11123,0,0,0,0,5679,51.05,5444,48.94,30,0.52,11,0.19,926,16.42,2979,52.83,1523,27.01,66,1.17,82,1.45,14,0.24,3,0.05,0,0,12450,20295
2700088,10,4,SANTANDER,GAMBITA,10,10,100,0,3350,0,0,0,0,2085,62.23,1265,37.76,19,0.91,10,0.47,204,9.92,1660,80.73,157,7.63,17,0.82,3,0.14,4,0.19,0,0,0,0,27088,68298
0700097,16,8,BOYACA,GAMEZA,11,11,100,0,4088,0,0,0,0,2418,59.14,1670,40.85,18,0.74,3,0.12,181,7.55,1756,73.25,384,16.02,49,2.04,1,0.04,7,0.29,0,0,1,0.04,07097,15296
0700100,16,11,BOYACA,GARAGOA,34,34,100,0,12170,0,0,0,0,7489,61.53,4681,38.46,84,1.12,8,0.10,874,11.81,3696,49.96,2350,31.76,257,3.47,46,0.62,31,0.41,3,0.04,8,0.10,07100,15299
1900034,14,11,HUILA,GARZON,140,140,100,0,56064,0,0,0,0,31887,56.87,24177,43.12,348,1.09,46,0.14,5301,16.83,15841,50.30,8504,27.00,761,2.41,515,1.63,66,0.20,12,0.03,21,0.06,19034,41298
2600040,11,8,QUINDIO,GENOVA,20,20,100,0,7397,0,0,0,0,3777,51.06,3620,48.93,71,1.87,11,0.29,1197,32.39,1231,33.31,977,26.44,136,3.68,84,2.27,4,0.10,1,0.02,2,0.05,26040,63302
8800115,12,4,CONSULADOS,GHANA,9,9,100,0,44,0,0,0,0,37,84.09,7,15.90,0,0,0,0,12,32.43,5,13.51,12,32.43,6,16.21,0,0,0,0,0,0,0,0,88115,27810
1900037,16,10,HUILA,GIGANTE,53,53,100,0,19879,0,0,0,0,10721,53.93,9158,46.06,136,1.26,14,0.13,1876,17.74,5056,47.82,2787,26.36,194,1.83,456,4.31,16,0.15,12,0.11,4,0.03,19037,41306
3100058,25,15,VALLE,GINEBRA,53,53,100,0,18424,0,0,0,0,10622,57.65,7802,42.34,226,2.12,20,0.18,2633,25.37,2077,20.01,5069,48.85,234,2.25,130,1.25,16,0.15,2,0.01,6,0.05,31058,76306
0100130,13,7,ANTIOQUIA,GIRALDO,13,13,100,0,4670,0,0,0,0,2402,51.43,2268,48.56,25,1.04,5,0.20,1076,45.36,520,21.92,601,25.33,108,4.55,3,0.12,10,0.42,2,0.08,1,0.04,01130,5306
1500109,18,14,CUNDINAMARCA,GIRARDOT,219,219,100,0,86196,0,0,0,0,53377,61.92,32819,38.07,594,1.11,38,0.07,11287,21.39,22543,42.73,15593,29.56,1550,2.93,867,1.64,123,0.23,29,0.05,27,0.05,15109,25307
0100133,16,12,ANTIOQUIA,GIRARDOTA,142,142,100,0,54494,0,0,0,0,29531,54.19,24963,45.80,521,1.76,45,0.15,12241,42.26,6739,23.26,7542,26.03,1418,4.89,253,0.87,43,0.14,29,0.10,22,0.07,01133,5308
2700091,18,16,SANTANDER,GIRON,336,336,100,0,123992,0,0,0,0,84413,68.07,39579,31.92,312,0.36,32,0.03,5457,6.49,61406,73.04,15081,17.93,633,0.75,715,0.85,155,0.18,10,0.01,11,0.01,27091,68307
0100136,12,7,ANTIOQUIA,GOMEZ PLATA,24,24,100,0,8902,0,0,0,0,4455,50.04,4447,49.95,88,1.97,9,0.20,2675,61.38,786,18.03,527,12.09,193,4.42,60,1.37,8,0.18,6,0.13,2,0.04,01136,5310
1200525,15,8,CESAR,GONZALEZ,16,16,100,0,4744,0,0,0,0,2357,49.68,2387,50.31,20,0.84,5,0.21,282,12.09,1558,66.80,427,18.31,27,1.15,1,0.04,11,0.47,0,0,1,0.04,12525,20310
2500040,15,7,NORTE DE SAN,GRAMALOTE,16,16,100,0,5644,0,0,0,0,3458,61.26,2186,38.73,18,0.52,5,0.14,1777,51.73,1345,39.15,225,6.55,55,1.60,3,0.08,10,0.29,2,0.05,2,0.05,25040,54313
0100139,19,8,ANTIOQUIA,GRANADA,27,27,100,0,10143,0,0,0,0,5373,52.97,4770,47.02,68,1.26,22,0.40,3661,69.29,706,13.36,519,9.82,229,4.33,9,0.17,82,1.55,4,0.07,3,0.05,01139,5313
1500132,15,9,CUNDINAMARCA,GRANADA,17,17,100,0,6407,0,0,0,0,4098,63.96,2309,36.03,68,1.65,7,0.17,314,7.80,2008,49.91,1539,38.25,74,1.83,20,0.49,4,0.09,14,0.34,1,0.02,15132,25312
5200035,20,17,META,GRANADA,143,143,100,0,55697,0,0,0,0,33750,60.59,21947,39.40,565,1.67,57,0.16,3307,9.98,19108,57.67,9325,28.14,465,1.40,299,0.90,29,0.08,15,0.04,20,0.06,52035,50313
2700094,14,9,SANTANDER,GUACA,21,21,100,0,5437,0,0,0,0,3091,56.85,2346,43.14,9,0.29,3,0.09,278,9.02,2538,82.42,216,7.01,8,0.25,22,0.71,1,0.03,0,0,2,0.06,27094,68318
